"From NY intraday market price for zone N.Y.C. - taken from 10/08/18 to 10/10/18 - n_total = 879					",,,,,
"					",,,,,
t,price,,,,
10.10.2018 08:55,30.68,,,, 
10.10.2018 09:00,29.13,,,, 
10.10.2018 09:05,30.75,,,, 
10.10.2018 09:10,32.96,,,, 
10.10.2018 09:15,36.53,,,, 
10.10.2018 09:20,35.14,,,, 
10.10.2018 09:25,35.1,,,, 
10.10.2018 09:30,32.31,,,, 
10.10.2018 09:35,35.83,,,, 
10.10.2018 09:40,32.09,,,, 
10.10.2018 09:45,32.09,,,, 
10.10.2018 09:50,32.04,,,, 
10.10.2018 09:55,32.07,,,, 
10.10.2018 10:00,25.83,,,, 
10.10.2018 10:05,25.18,,,, 
10.10.2018 10:10,30.66,,,, 
10.10.2018 10:15,31.36,,,, 
10.10.2018 10:20,32.66,,,, 
10.10.2018 10:25,32.73,,,, 
10.10.2018 10:30,33.81,,,, 
10.10.2018 10:35,36.73,,,, 
10.10.2018 10:40,38.11,,,, 
10.10.2018 10:45,38.15,,,, 
10.10.2018 10:50,37.48,,,, 
10.10.2018 10:55,38.43,,,, 
10.10.2018 11:00,35.18,,,, 
10.10.2018 11:05,34.85,,,, 
10.10.2018 11:10,38.11,,,, 
10.10.2018 11:15,36.1,,,, 
10.10.2018 11:20,36.94,,,, 
10.10.2018 11:25,38.06,,,, 
10.10.2018 11:30,36.92,,,, 
10.10.2018 11:35,35.55,,,, 
10.10.2018 11:40,35.54,,,, 
10.10.2018 11:45,36.31,,,, 
10.10.2018 11:50,35.67,,,, 
10.10.2018 11:53,33.59,,,, 
10.10.2018 11:55,39.5,,,, 
10.10.2018 11:55,39.5,,,, 
10.10.2018 12:00,38.04,,,, 
10.10.2018 12:05,38.04,,,, 
10.10.2018 12:10,38.58,,,, 
10.10.2018 12:15,38.12,,,, 
10.10.2018 12:20,38.79,,,, 
10.10.2018 12:25,39.5,,,, 
10.10.2018 12:30,38.76,,,, 
10.10.2018 12:35,39.5,,,, 
10.10.2018 12:40,39.5,,,, 
10.10.2018 12:45,38.75,,,, 
10.10.2018 12:50,39.53,,,, 
10.10.2018 12:55,39.57,,,, 
10.10.2018 12:55,37.19,,,, 
10.10.2018 12:57,39.5,,,, 
10.10.2018 13:00,37.66,,,, 
10.10.2018 13:05,37.66,,,, 
10.10.2018 13:10,38.18,,,, 
10.10.2018 13:15,38.32,,,, 
10.10.2018 13:20,38.58,,,, 
10.10.2018 13:25,38.76,,,, 
10.10.2018 13:30,38.72,,,, 
10.10.2018 13:35,39.46,,,, 
10.10.2018 13:40,39.5,,,, 
10.10.2018 13:45,38.72,,,, 
10.10.2018 13:50,38.72,,,, 
10.10.2018 13:55,39.58,,,, 
10.10.2018 14:00,37.78,,,, 
10.10.2018 14:05,38.38,,,, 
10.10.2018 14:10,38.43,,,, 
10.10.2018 14:15,38.38,,,, 
10.10.2018 14:20,38.43,,,, 
10.10.2018 14:25,38.55,,,, 
10.10.2018 14:30,38.79,,,, 
10.10.2018 14:35,39,,,, 
10.10.2018 14:40,38.67,,,, 
10.10.2018 14:45,38.71,,,, 
10.10.2018 14:50,38.71,,,, 
10.10.2018 14:55,38.71,,,, 
10.10.2018 15:00,38.89,,,, 
10.10.2018 15:05,40.73,,,, 
10.10.2018 15:10,41.07,,,, 
10.10.2018 15:15,43.15,,,, 
10.10.2018 15:20,41.11,,,, 
10.10.2018 15:25,42.97,,,, 
10.10.2018 15:30,43.66,,,, 
10.10.2018 15:35,44.55,,,, 
10.10.2018 15:40,44.66,,,, 
10.10.2018 15:45,43.78,,,, 
10.10.2018 15:50,44.55,,,, 
10.10.2018 15:55,43.77,,,, 
10.10.2018 16:00,45.44,,,, 
10.10.2018 16:05,48.83,,,, 
10.10.2018 16:10,45.5,,,, 
10.10.2018 16:15,47.49,,,, 
10.10.2018 16:20,47.54,,,, 
10.10.2018 16:25,47.55,,,, 
10.10.2018 16:30,47.65,,,, 
10.10.2018 16:35,47.64,,,, 
10.10.2018 16:40,47.64,,,, 
10.10.2018 16:45,47.6,,,, 
10.10.2018 16:50,45.5,,,, 
10.10.2018 16:55,50.97,,,, 
10.10.2018 17:00,81.04,,,, 
10.10.2018 17:05,129.44,,,, 
10.10.2018 17:10,127.67,,,, 
10.10.2018 17:15,97.54,,,, 
10.10.2018 17:20,79.44,,,, 
10.10.2018 17:25,69.96,,,, 
10.10.2018 17:30,50.85,,,, 
10.10.2018 17:35,52.64,,,, 
10.10.2018 17:40,56.12,,,, 
10.10.2018 17:45,59.1,,,, 
10.10.2018 17:50,55.72,,,, 
10.10.2018 17:55,50.41,,,, 
10.10.2018 18:00,35.39,,,, 
10.10.2018 18:05,29.16,,,, 
10.10.2018 18:10,29.14,,,, 
10.10.2018 18:15,27.96,,,, 
10.10.2018 18:20,28.53,,,, 
10.10.2018 18:25,29.14,,,, 
10.10.2018 18:30,29.76,,,, 
10.10.2018 18:35,30.81,,,, 
10.10.2018 18:40,30.84,,,, 
10.10.2018 18:45,30.84,,,, 
10.10.2018 18:50,30.81,,,, 
10.10.2018 18:55,30.81,,,, 
10.10.2018 19:00,39.56,,,, 
10.10.2018 19:05,43.52,,,, 
10.10.2018 19:10,43.48,,,, 
10.10.2018 19:15,39.53,,,, 
10.10.2018 19:20,39.53,,,, 
10.10.2018 19:25,39.16,,,, 
10.10.2018 19:30,38.71,,,, 
10.10.2018 19:35,37.89,,,, 
10.10.2018 19:40,36.1,,,, 
10.10.2018 19:45,34.21,,,, 
10.10.2018 19:50,31.03,,,, 
10.10.2018 19:55,34.47,,,, 
10.10.2018 20:00,36.02,,,, 
10.10.2018 20:05,38.23,,,, 
10.10.2018 20:10,36.02,,,, 
10.10.2018 20:15,43.12,,,, 
10.10.2018 20:20,40.84,,,, 
10.10.2018 20:25,42.55,,,, 
10.10.2018 20:30,40.88,,,, 
10.10.2018 20:35,37.45,,,, 
10.10.2018 20:40,31.19,,,, 
10.10.2018 20:45,31.04,,,, 
10.10.2018 20:50,30.84,,,, 
10.10.2018 20:55,30.84,,,, 
10.10.2018 21:00,34.65,,,, 
10.10.2018 21:05,34.24,,,, 
10.10.2018 21:10,33.93,,,, 
10.10.2018 21:15,35.98,,,, 
10.10.2018 21:20,34.74,,,, 
10.10.2018 21:25,34.33,,,, 
10.10.2018 21:30,35.57,,,, 
10.10.2018 21:35,34.74,,,, 
10.10.2018 21:40,31.84,,,, 
10.10.2018 21:45,38.83,,,, 
10.10.2018 21:50,35.95,,,, 
10.10.2018 21:55,38.01,,,, 
10.10.2018 22:00,35.62,,,, 
10.10.2018 22:05,34.57,,,, 
10.10.2018 22:10,34.57,,,, 
10.10.2018 22:15,37.77,,,, 
10.10.2018 22:20,32.77,,,, 
10.10.2018 22:25,31.45,,,, 
10.10.2018 22:30,30.88,,,, 
10.10.2018 22:35,30.44,,,, 
10.10.2018 22:40,29.41,,,, 
10.10.2018 22:45,28.95,,,, 
10.10.2018 22:50,29.35,,,, 
10.10.2018 22:55,28.18,,,, 
10.10.2018 23:00,29.38,,,, 
10.10.2018 23:05,29.41,,,, 
10.10.2018 23:10,28.58,,,, 
10.10.2018 23:15,29.9,,,, 
10.10.2018 23:20,29.08,,,, 
10.10.2018 23:25,27.65,,,, 
10.10.2018 23:30,27.67,,,, 
10.10.2018 23:35,23.2,,,, 
10.10.2018 23:40,19.7,,,, 
10.10.2018 23:45,19.81,,,, 
10.10.2018 23:50,19.77,,,, 
10.10.2018 23:55,17.09,,,, 
10.11.2018 00:00,26.19,,,, 
"					 ",,,,,
"					 ",,,,,
"					 ",,,,,
"					 ",,,,,
"					 ",,,,,
"					 ",,,,,
"					 ",,,,,
"					 ",,,,,
"					 ",,,,,
"					 ",,,,,
"					 ",,,,,
